source_id,url,http_status,effective_url,fallback_url,fallback_http_status,check_status,checked_at,notes
src_ey_fy13,https://www.prnewswire.com/news-releases/ey-reports-2013-global-revenues-of-us258-billion-226874851.html,206,https://www.prnewswire.com/news-releases/ey-reports-2013-global-revenues-of-us258-billion-226874851.html,,,pass,2026-07-18,Source responded successfully.
src_ey_fy14,https://www.prnewswire.co.uk/news-releases/ey-reports-2014-global-revenues-of-us274b-277148601.html,206,https://www.prnewswire.co.uk/news-releases/ey-reports-2014-global-revenues-of-us274b-277148601.html,,,pass,2026-07-18,Source responded successfully.
src_ey_fy15,https://www.prnewswire.com/news-releases/ey-reports-2015-global-revenues-up-by-116-300142820.html,206,https://www.prnewswire.com/news-releases/ey-reports-2015-global-revenues-up-by-116-300142820.html,,,pass,2026-07-18,Source responded successfully.
src_ey_fy16,https://www.prnewswire.co.uk/news-releases/ey-reports-record-global-revenues-in-2016---up-by-9-596112081.html,206,https://www.prnewswire.co.uk/news-releases/ey-reports-record-global-revenues-in-2016---up-by-9-596112081.html,,,pass,2026-07-18,Source responded successfully.
src_ey_fy17,https://www.prnewswire.com/news-releases/ey-reports-strong-global-revenue-growth-in-2017-300513694.html,206,https://www.prnewswire.com/news-releases/ey-reports-strong-global-revenue-growth-in-2017-300513694.html,,,pass,2026-07-18,Source responded successfully.
src_ey_fy18,https://www.prnewswire.com/news-releases/ey-reports-record-global-revenues-of-us34-8b-in-2018--300711330.html,206,https://www.prnewswire.com/news-releases/ey-reports-record-global-revenues-of-us34-8b-in-2018--300711330.html,,,pass,2026-07-18,Source responded successfully.
src_ey_fy19,https://www.prnewswire.com/news-releases/ey-reports-record-global-revenues-of-us36-4b-in-2019--300911944.html,206,https://www.prnewswire.com/news-releases/ey-reports-record-global-revenues-of-us36-4b-in-2019--300911944.html,,,pass,2026-07-18,Source responded successfully.
src_ey_fy20,https://www.ey.com/en_nz/newsroom/2020/09/ey-reports-global-revenues-of-us-37-2b-in-2020,206,https://www.ey.com/en_nz/newsroom/2020/09/ey-reports-global-revenues-of-us-37-2b-in-2020,,,pass,2026-07-18,Source responded successfully.
src_ey_fy21,https://www.ey.com/en_us/newsroom/2021/09/ey-reports-global-revenues-of-us-40b-in-2021-and-outlines-record-us-10b-investment-plan-over-next-three-years,206,https://www.ey.com/en_us/newsroom/2021/09/ey-reports-global-revenues-of-us-40b-in-2021-and-outlines-record-us-10b-investment-plan-over-next-three-years,,,pass,2026-07-18,Source responded successfully.
src_ey_fy22,https://www.ey.com/en_gl/newsroom/2022/09/ey-achieves-highest-growth-in-nearly-two-decades-reports-record-global-revenue-of-us-45-4b,206,https://www.ey.com/en_gl/newsroom/2022/09/ey-achieves-highest-growth-in-nearly-two-decades-reports-record-global-revenue-of-us-45-4b,,,pass,2026-07-18,Source responded successfully.
src_ey_fy23,https://www.ey.com/en_sg/newsroom/2023/09/ey-reports-record-global-revenue-results-of-just-under-us-50b,206,https://www.ey.com/en_sg/newsroom/2023/09/ey-reports-record-global-revenue-results-of-just-under-us-50b,,,pass,2026-07-18,Source responded successfully.
src_ey_fy24,https://www.ey.com/en_gl/newsroom/2024/10/ey-reports-global-revenue-of-51-point-2-billion-us-dollars-for-fiscal-year-2024,206,https://www.ey.com/en_gl/newsroom/2024/10/ey-reports-global-revenue-of-51-point-2-billion-us-dollars-for-fiscal-year-2024,,,pass,2026-07-18,Source responded successfully.
src_ey_fy25,https://www.ey.com/en_gl/newsroom/2025/10/ey-announces-global-revenue-of-us-53-2b-for-fiscal-year-2025,206,https://www.ey.com/en_gl/newsroom/2025/10/ey-announces-global-revenue-of-us-53-2b-for-fiscal-year-2025,,,pass,2026-07-18,Source responded successfully.
src_ey_legal_current,https://www.ey.com/en_uk/legal-and-privacy/legal-statement,206,https://www.ey.com/en_uk/legal-and-privacy/legal-statement,,,pass,2026-07-18,Source responded successfully.
src_ey_member_affiliates_2026,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-uk/legal-and-privacy/documents/ey-member-firms-and-affiliates-list-as-on-8-june.pdf,206,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-uk/legal-and-privacy/documents/ey-member-firms-and-affiliates-list-as-on-8-june.pdf,,,pass,2026-07-18,Source responded successfully.
src_ey_network_current,https://www.ey.com/en_gl/about-us/governance/ey-network,206,https://www.ey.com/en_gl/about-us/governance/ey-network,,,pass,2026-07-18,Source responded successfully.
src_kpmg_ar2011,https://assets.kpmg.com/content/dam/kpmg/pdf/2012/01/kpmg-international-annual-review-2011.pdf,206,https://assets.kpmg.com/content/dam/kpmg/pdf/2012/01/kpmg-international-annual-review-2011.pdf,,,pass,2026-07-18,Source responded successfully.
src_kpmg_ar2013,https://assets.kpmg.com/content/dam/kpmg/pdf/2013/12/international-annual-review-2013.pdf,206,https://assets.kpmg.com/content/dam/kpmg/pdf/2013/12/international-annual-review-2013.pdf,,,pass,2026-07-18,Source responded successfully.
src_kpmg_ar2014,https://assets.kpmg.com/content/dam/kpmg/pdf/2014/12/international-annual-review-2014.pdf,206,https://assets.kpmg.com/content/dam/kpmg/pdf/2014/12/international-annual-review-2014.pdf,,,pass,2026-07-18,Source responded successfully.
src_kpmg_ar2015,https://assets.kpmg.com/content/dam/kpmg/pdf/2015/12/international-annual-review-2015.pdf,206,https://assets.kpmg.com/content/dam/kpmg/pdf/2015/12/international-annual-review-2015.pdf,,,pass,2026-07-18,Source responded successfully.
src_kpmg_ar2016,https://assets.kpmg.com/content/dam/kpmg/iar/international-annual-review-2016.pdf,206,https://assets.kpmg.com/content/dam/kpmg/iar/international-annual-review-2016.pdf,,,pass,2026-07-18,Source responded successfully.
src_kpmg_ar2017,https://assets.kpmg.com/content/dam/kpmg/xx/pdf/2017/12/international-annual-review-2017.pdf,206,https://assets.kpmg.com/content/dam/kpmg/xx/pdf/2017/12/international-annual-review-2017.pdf,,,pass,2026-07-18,Source responded successfully.
src_kpmg_ar2019,https://assets.kpmg.com/content/dam/kpmg/pe/pdf/global-annual-review-2019.pdf,206,https://assets.kpmg.com/content/dam/kpmg/pe/pdf/global-annual-review-2019.pdf,,,pass,2026-07-18,Source responded successfully.
